open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1677110400000,24171.30,24189.70,24171.30,24176.20,599.496,1677110459999,14494591.36180,3838,209.274,5059926.11860,0
1677110460000,24176.20,24186.00,24176.20,24177.00,198.691,1677110519999,4804466.39070,2072,99.005,2393987.09590,0
1677110520000,24177.00,24196.30,24172.40,24192.20,350.237,1677110579999,8471402.55840,2768,193.623,4683207.93820,0
1677110580000,24192.20,24195.00,24173.50,24175.20,297.490,1677110639999,7194440.37730,2757,90.969,2200125.59160,0
1677110640000,24175.20,24185.80,24174.20,24178.30,339.444,1677110699999,8207317.76300,2166,214.347,5182621.09570,0
1677110700000,24178.30,24181.00,24172.70,24172.80,187.717,1677110759999,4538459.21220,1689,77.989,1885628.85670,0
1677110760000,24172.80,24176.70,24170.40,24172.80,128.462,1677110819999,3105279.26710,1312,41.545,1004270.24610,0
1677110820000,24172.90,24172.90,24156.80,24156.90,298.637,1677110879999,7215491.98350,2112,74.879,1809059.37930,0
1677110880000,24156.80,24157.60,24146.40,24146.50,344.585,1677110939999,8322137.25470,2454,70.025,1691263.14080,0
1677110940000,24146.40,24163.80,24146.30,24156.50,280.012,1677110999999,6763264.64500,2064,195.991,4733660.44580,0
1677111000000,24156.60,24180.00,24156.50,24176.70,212.030,1677111059999,5124347.56960,1900,157.605,3808885.33520,0
1677111060000,24176.60,24183.80,24171.80,24176.20,136.261,1677111119999,3294586.87760,1716,55.206,1334790.51050,0
1677111120000,24176.10,24188.00,24176.10,24186.80,137.926,1677111179999,3335720.76510,1347,87.334,2112135.16710,0
1677111180000,24186.70,24198.40,24181.70,24198.40,238.255,1677111239999,5763923.96420,2080,156.788,3793157.15310,0
1677111240000,24198.30,24204.40,24193.00,24194.00,333.893,1677111299999,8079985.87810,2312,161.045,3897311.84150,0
1677111300000,24194.00,24200.00,24184.20,24184.20,277.074,1677111359999,6703752.69440,2234,63.799,1543551.70260,0
1677111360000,24184.20,24184.30,24156.60,24178.90,337.806,1677111419999,8165047.38990,3249,167.419,4046322.68630,0
1677111420000,24178.80,24205.00,24178.80,24202.20,338.142,1677111479999,8182287.46510,2623,241.811,5851284.48700,0
1677111480000,24202.20,24215.10,24202.20,24208.10,419.433,1677111539999,10153886.69790,3125,244.139,5910396.21320,0
1677111540000,24208.00,24229.90,24204.80,24225.00,783.374,1677111599999,18972328.49067,4412,557.398,13500160.67727,0
1677111600000,24225.00,24228.20,24214.70,24219.40,531.637,1677111659999,12878345.41510,3467,268.296,6499136.39740,0
1677111660000,24219.40,24240.00,24213.90,24213.90,710.517,1677111719999,17213339.84180,4429,424.588,10287275.34120,0
1677111720000,24213.90,24216.10,24204.70,24215.80,358.829,1677111779999,8687657.02940,2926,103.743,2511647.81510,0
1677111780000,24215.80,24222.50,24210.00,24213.40,195.651,1677111839999,4737875.28130,1835,114.456,2771606.76840,0
1677111840000,24213.30,24213.40,24202.60,24202.60,222.347,1677111899999,5383075.14080,1218,31.919,772807.66550,0
1677111900000,24202.60,24202.60,24185.10,24186.60,269.136,1677111959999,6511147.26570,2390,49.027,1185974.31240,0
1677111960000,24186.60,24195.00,24171.00,24171.00,178.557,1677112019999,4317720.80210,2059,48.249,1166808.96080,0
1677112020000,24171.00,24214.10,24170.90,24212.10,1062.748,1677112079999,25715633.87320,4075,686.024,16597691.90180,0
1677112080000,24212.10,24212.20,24174.60,24178.30,374.856,1677112139999,9067534.97770,2599,101.461,2453901.47100,0
1677112140000,24178.30,24182.70,24173.00,24173.00,130.120,1677112199999,3145887.08450,1269,56.020,1354443.67950,0
1677112200000,24173.00,24210.00,24170.00,24186.20,739.476,1677112259999,17887024.92380,3778,467.840,11314900.81030,0
1677112260000,24186.20,24191.30,24150.60,24151.70,565.578,1677112319999,13668204.79310,3768,187.459,4530009.05590,0
