open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1680480000000,1793.55,1793.55,1792.98,1793.09,1921.397,1680480059999,3445361.64284,1497,717.355,1286318.36023,0
1680480060000,1793.08,1793.11,1792.37,1792.37,1875.317,1680480119999,3361901.78434,1363,567.671,1017673.73959,0
1680480120000,1792.37,1792.98,1791.90,1792.18,2399.782,1680480179999,4301348.92747,1399,765.984,1373075.13593,0
1680480180000,1792.18,1792.72,1791.89,1792.12,836.669,1680480239999,1499522.07150,860,341.124,611375.74829,0
1680480240000,1792.07,1792.54,1791.89,1792.54,742.847,1680480299999,1331290.01014,720,455.788,816849.95242,0
1680480300000,1792.54,1792.67,1792.02,1792.31,810.973,1680480359999,1453605.71460,899,469.622,841755.08138,0
1680480360000,1792.31,1792.32,1791.76,1791.78,862.001,1680480419999,1544718.00588,775,181.715,325634.63304,0
1680480420000,1791.79,1792.08,1791.72,1791.87,836.926,1680480479999,1499614.61634,646,407.608,730366.07815,0
1680480480000,1791.87,1792.85,1791.87,1791.92,415.710,1680480539999,745097.37812,713,203.048,363932.70625,0
1680480540000,1791.91,1792.90,1791.91,1792.90,581.447,1680480599999,1042292.26475,496,349.204,625950.28608,0
1680480600000,1792.89,1793.79,1792.76,1793.34,2679.033,1680480659999,4804530.29835,1445,1942.660,3483870.56432,0
1680480660000,1793.34,1793.71,1792.76,1793.30,776.560,1680480719999,1392557.42685,723,483.475,866940.11444,0
1680480720000,1793.31,1793.70,1793.03,1793.03,468.415,1680480779999,840075.12186,564,136.707,245176.96353,0
1680480780000,1793.04,1793.19,1792.02,1792.24,910.841,1680480839999,1632655.49823,844,206.907,370894.49642,0
1680480840000,1792.25,1792.67,1792.24,1792.32,339.600,1680480899999,608724.43757,426,123.523,221400.51939,0
1680480900000,1792.33,1792.79,1792.20,1792.20,609.872,1680480959999,1093191.76147,718,316.246,566862.12914,0
1680480960000,1792.20,1792.21,1792.02,1792.18,310.889,1680481019999,557150.90148,478,182.224,326562.81746,0
1680481020000,1792.18,1793.19,1792.18,1793.19,739.517,1680481079999,1325775.85073,464,664.585,1191471.68011,0
1680481080000,1793.19,1793.50,1793.18,1793.33,486.390,1680481139999,872307.38606,471,226.892,406910.09504,0
1680481140000,1793.33,1793.34,1791.59,1791.71,1277.034,1680481199999,2289203.24105,932,509.923,914174.54160,0
1680481200000,1791.71,1791.71,1791.29,1791.48,791.298,1680481259999,1417544.40927,798,198.583,355733.65829,0
1680481260000,1791.49,1792.17,1791.48,1791.53,657.806,1680481319999,1178647.17233,603,398.871,714656.75354,0
1680481320000,1791.53,1792.00,1791.08,1791.08,982.221,1680481379999,1759637.88001,902,145.049,259853.96443,0
1680481380000,1791.09,1791.09,1790.13,1790.41,2553.946,1680481439999,4573278.26690,1517,1035.629,1854469.85332,0
1680481440000,1790.41,1790.72,1789.47,1790.04,1822.631,1680481499999,3262566.78197,1397,968.466,1733537.63006,0
1680481500000,1790.03,1791.17,1790.03,1790.60,732.581,1680481559999,1311845.65265,902,446.741,799955.26688,0
1680481560000,1790.59,1791.34,1790.59,1791.01,1048.087,1680481619999,1877297.73510,655,608.872,1090576.63686,0
1680481620000,1791.01,1791.01,1790.17,1790.37,1061.811,1680481679999,1901366.59565,839,336.038,601692.11340,0
