open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1682035200000,90.18,90.18,90.03,90.03,3366.436,1682035259999,303345.12678,561,1450.445,130710.29210,0
1682035260000,90.04,90.30,90.03,90.29,2925.572,1682035319999,263721.20083,561,2200.833,198397.45926,0
1682035320000,90.30,90.44,90.30,90.36,4107.601,1682035379999,371241.23863,727,2538.410,229410.71736,0
1682035380000,90.36,90.39,90.26,90.32,3160.309,1682035439999,285425.28662,497,1518.006,137089.58173,0
1682035440000,90.32,90.34,90.28,90.32,1830.831,1682035499999,165347.36954,304,998.623,90188.82981,0
1682035500000,90.32,90.32,90.26,90.30,1406.893,1682035559999,127027.25587,270,816.800,73745.21452,0
1682035560000,90.29,90.34,90.24,90.33,1634.255,1682035619999,147570.02898,239,1225.624,110682.07217,0
1682035620000,90.34,90.38,90.34,90.38,3084.896,1682035679999,278736.27700,197,2641.551,238673.11419,0
1682035680000,90.38,90.59,90.37,90.59,6878.958,1682035739999,622239.35703,578,6538.187,591393.91717,0
1682035740000,90.59,90.61,90.41,90.42,5179.156,1682035799999,468597.69463,730,1604.252,145136.82974,0
1682035800000,90.43,90.43,90.25,90.29,2505.244,1682035859999,226290.67663,467,944.706,85316.12317,0
1682035860000,90.30,90.39,90.23,90.38,1980.698,1682035919999,178807.12458,368,968.612,87449.98674,0
1682035920000,90.39,90.39,90.24,90.36,1500.670,1682035979999,135548.13204,284,855.838,77300.44544,0
1682035980000,90.36,90.42,90.30,90.31,2477.969,1682036039999,223928.97982,340,1248.186,112812.36731,0
1682036040000,90.32,90.38,90.27,90.29,2107.418,1682036099999,190345.18119,308,1079.167,97464.74915,0
1682036100000,90.30,90.44,90.20,90.42,3603.787,1682036159999,325419.23597,538,2389.908,215855.58487,0
1682036160000,90.44,90.59,90.42,90.57,4558.010,1682036219999,412607.11822,589,3250.187,294223.37390,0
1682036220000,90.57,90.61,90.49,90.49,2690.954,1682036279999,243681.03185,444,925.617,83830.26280,0
1682036280000,90.50,90.64,90.50,90.63,1986.447,1682036339999,179929.68529,364,1627.428,147404.19353,0
1682036340000,90.63,90.63,90.51,90.60,2540.301,1682036399999,230055.17749,422,822.949,74531.13417,0
1682036400000,90.60,90.62,90.47,90.51,4073.733,1682036459999,368767.91707,557,2042.026,184839.23484,0
1682036460000,90.51,90.51,90.34,90.34,2462.712,1682036519999,222729.47410,389,1357.985,122805.55439,0
1682036520000,90.35,90.35,90.16,90.16,1514.343,1682036579999,136676.14333,385,225.044,20319.08907,0
1682036580000,90.17,90.17,89.90,89.90,7067.657,1682036639999,636422.86069,944,2538.925,228656.06142,0
1682036640000,89.89,90.05,89.85,89.98,7767.629,1682036699999,698744.28719,921,4295.522,386414.18552,0
1682036700000,89.99,89.99,89.78,89.91,8374.326,1682036759999,752534.62759,977,4032.928,362432.53874,0
1682036760000,89.91,89.95,89.77,89.84,7557.741,1682036819999,679183.87816,920,4093.877,367928.04084,0
1682036820000,89.84,89.89,89.67,89.84,11952.279,1682036879999,1073271.10099,1301,7061.399,634180.12299,0
1682036880000,89.83,89.88,89.72,89.78,3247.930,1682036939999,291671.30912,588,1520.681,136561.03792,0
1682036940000,89.79,89.80,89.65,89.76,4126.567,1682036999999,370295.54818,682,1560.849,140082.59857,0
1682037000000,89.76,90.04,89.76,90.01,7518.944,1682037059999,676149.86108,921,5540.870,498341.15674,0
1682037060000,90.01,90.06,89.77,89.80,5722.309,1682037119999,514559.77014,915,2268.480,204023.33949,0
1682037120000,89.81,89.90,89.79,89.83,2668.715,1682037179999,239736.29749,475,1380.331,123996.15809,0
1682037180000,89.83,89.85,89.77,89.83,2311.461,1682037239999,207589.72274,399,1175.795,105587.84110,0
1682037240000,89.84,89.94,89.79,89.92,3391.057,1682037299999,304648.24233,379,2401.764,215742.26352,0
1682037300000,89.92,89.94,89.78,89.79,2513.300,1682037359999,225904.28584,387,907.787,81603.41912,0
1682037360000,89.79,90.02,89.78,89.89,7408.700,1682037419999,666267.89407,776,4346.015,390833.21665,0
1682037420000,89.90,90.11,89.85,90.08,8650.063,1682037479999,778228.20826,741,5611.174,504813.25114,0
1682037480000,90.08,90.39,90.08,90.38,5291.599,1682037539999,477571.47425,966,3387.449,305703.20620,0
1682037540000,90.37,90.49,90.32,90.39,5476.587,1682037599999,495037.10292,693,1799.727,162687.27310,0
1682037600000,90.39,90.44,90.24,90.30,4501.770,1682037659999,406733.48478,521,1008.667,91171.38248,0
1682037660000,90.31,90.32,90.19,90.22,2474.201,1682037719999,223327.74651,395,1121.713,101249.34956,0
1682037720000,90.22,90.45,90.15,90.43,3806.559,1682037779999,343618.22549,613,2896.071,261411.75010,0
1682037780000,90.44,90.50,90.32,90.33,2792.200,1682037839999,252474.15494,456,933.349,84422.69449,0
1682037840000,90.32,90.39,90.31,90.38,1340.712,1682037899999,121117.40560,247,874.851,79038.39068,0
1682037900000,90.39,90.55,90.27,90.53,4512.732,1682037959999,407932.06093,640,2803.734,253524.22911,0
1682037960000,90.53,90.70,90.53,90.63,5356.795,1682038019999,485467.18913,799,3414.289,309429.72911,0
1682038020000,90.64,90.69,90.56,90.64,5536.578,1682038079999,501770.27905,680,3077.757,278926.02295,0
1682038080000,90.63,90.86,90.63,90.86,4922.495,1682038139999,446565.77774,815,2743.637,248980.42443,0
1682038140000,90.85,90.88,90.65,90.73,4057.710,1682038199999,368271.05740,504,1071.186,97228.12491,0
1682038200000,90.72,90.72,90.58,90.61,3386.001,1682038259999,306899.65940,499,1274.174,115495.93261,0
1682038260000,90.62,90.62,90.54,90.58,4977.401,1682038319999,450788.82822,339,2468.153,223514.32537,0
1682038320000,90.58,90.60,90.51,90.57,2286.561,1682038379999,207051.13260,268,1160.205,105061.80251,0
1682038380000,90.57,90.57,90.47,90.50,1429.925,1682038439999,129427.10098,231,462.856,41903.30249,0
1682038440000,90.50,90.54,90.47,90.52,1048.339,1682038499999,94866.90971,194,375.982,34024.82033,0
1682038500000,90.52,90.52,90.35,90.42,4406.468,1682038559999,398435.96827,502,965.484,87286.01176,0
1682038560000,90.42,90.56,90.42,90.55,1593.358,1682038619999,144157.25562,269,1164.803,105379.76641,0
1682038620000,90.53,90.53,90.43,90.50,855.217,1682038679999,77386.39927,166,523.311,47349.98009,0
1682038680000,90.49,90.49,90.38,90.47,1233.239,1682038739999,111544.84289,231,640.526,57925.99354,0
1682038740000,90.46,90.49,90.33,90.40,1469.513,1682038799999,132867.59853,267,486.809,44007.07302,0
1682038800000,90.40,90.65,90.40,90.63,2786.922,1682038859999,252347.81553,632,1952.260,176766.42494,0
1682038860000,90.64,90.68,90.55,90.59,2494.906,1682038919999,226084.20282,436,750.571,68018.76255,0
1682038920000,90.59,90.61,90.47,90.57,2677.808,1682038979999,242504.80374,498,1125.087,101876.98096,0
1682038980000,90.57,90.57,90.38,90.39,1654.869,1682039039999,149758.90935,354,547.712,49554.85098,0
1682039040000,90.38,90.44,90.25,90.42,4922.780,1682039099999,444635.30805,688,3043.756,274937.23187,0
1682039100000,90.42,90.52,90.40,90.51,2504.610,1682039159999,226550.92200,355,1990.682,180064.38824,0
1682039160000,90.51,90.52,90.41,90.44,1475.693,1682039219999,133483.48192,251,638.076,57715.65134,0
1682039220000,90.44,90.44,90.34,90.34,1142.511,1682039279999,103274.63625,232,464.856,42017.47927,0
1682039280000,90.34,90.34,90.23,90.30,4801.961,1682039339999,433558.35082,533,2227.888,201174.03938,0
1682039340000,90.29,90.30,90.13,90.14,4189.645,1682039399999,377860.32189,564,1622.584,146352.02966,0
1682039400000,90.13,90.27,90.12,90.25,2990.299,1682039459999,269684.53182,429,2097.355,189149.58663,0
1682039460000,90.26,90.31,90.23,90.31,1844.856,1682039519999,166539.14682,285,1413.281,127588.18071,0
1682039520000,90.31,90.42,90.30,90.40,1621.783,1682039579999,146549.29218,341,933.312,84351.06798,0
1682039580000,90.40,90.40,90.29,90.33,1745.683,1682039639999,157706.56421,215,428.263,38685.88845,0
1682039640000,90.33,90.41,90.33,90.40,543.366,1682039699999,49105.25338,142,401.043,36243.02178,0
1682039700000,90.39,90.40,90.23,90.28,3259.689,1682039759999,294336.36592,384,1228.720,110952.01892,0
1682039760000,90.29,90.31,90.23,90.23,1119.006,1682039819999,101011.85749,188,329.679,29756.09326,0
1682039820000,90.24,90.31,90.15,90.31,3881.947,1682039879999,350165.20224,427,2565.422,231444.88609,0
